,training_noun_phrases,skill_set_bool
1505,manchester day,0
1506,year,0
1507,bank holiday,0
1508,site,0
1509,site,0
1510,manchester staff,0
1511,manchester staff,0
1512,local business,0
1513,advice,0
1514,job search,0
1515,specialist consultant,0
1516,technique,0
1517,placement support,0
1518,employment business,0
1519,advert,0
1520,ground,0
1521,age,0
1522,application,0
1523,role,0
1524,term,0
1525,privacy policy,0
1526,personal data,1
1527,personal data,1
1528,crm,1
1529,opportunity,0
1530,motivated innovative advanced data apprentice,1
1531,growing global team,0
1532,digital professional,0
1533,company,0
1534,digital age,0
1535,typical day,0
1536,business context,0
1537,change management technique,1
1538,technical project,0
1539,hypothesis,0
1540,disaster recovery approach,0
1541,software development lifecycle,1
1542,project plan,0
1543,cloud,1
1544,cloud,1
1545,audience,0
1546,impact,0
1547,design,0
1548,five gcse grade c,1
1549,english,0
1550,mathsb,0
1551,gcse mathslevel qualification,0
1552,level,0
1553,problem,0
1554,personal quality,0
1555,desire,0
1556,staffhigh degree,0
1557,relational database experience,1
1558,familiarity,0
1559,analytical softwarecoding language,1
1560,sa,0
1561,python,1
1562,r,1
1563,beneficialexcellent time management skill,1
1564,ability,0
1565,future prospect,0
1566,progress,0
1567,data analyst role,1
1568,qualification,0
1569,training,0
1570,perk,0
1571,benefit,0
1572,job,0
1573,data analyst,1
1574,somerset,0
1575,role,0
1576,mixture,0
1577,office,0
1578,monday,0
1579,option,0
1580,free parking,0
1581,casual noncorporate environment,0
1582,childcare voucher scheme,0
1583,progression opportunity,0
1584,health plan,0
1585,wellbeing massage,0
1586,chiropractic care,0
1587,free prescription,0
1588,contribution,0
1589,role,0
1590,heart,0
1591,somerset,0
1592,small friendly ambitious team,0
1593,beautiful grade,0
1594,listed office,0
1595,view,0
1596,company,0
1597,leading business,0
1598,technical service,0
1599,agricultural farming industry,0
1600,small closeknit team,0
1601,application,0
1602,service,0
1603,responsibility,0
1604,data structure,1
1605,requirement,0
1606,data analysis,1
1607,sql,1
1608,data,1
1609,data quality,1
1610,others,0
1611,team,0
1612,datasets,1
1613,involvement,0
1614,solution,0
1615,strong sql programming skill,1
1616,ability,0
1617,reporting,1
1618,problem,0
1619,analytical mindset,0
1620,exceptional attention,0
1621,numeracy,0
1622,data analysis skill,1
1623,excellent organisation,0
1624,team player,0
1625,office angel,0
1626,permanent recruitment,0
1627,employment business,0
1628,equal opportunity employer,0
1629,detail,0
1630,website,0
1631,lloyd syndicate business,0
1632,data science,1
1633,recent graduate,0
1634,interest,0
1635,data science,1
1636,mi,0
1637,develop,0
1638,data source,1
1639,actuary,0
1640,underwriter,0
1641,pricing risk,0
1642,client,0
1643,client,0
1644,degree,0
1645,mathematical subject,0
1646,year relevant data analytics work experience,1
1647,experience,0
1648,ability,0
1649,data highly proficient user,1
1650,experience,0
1651,another coding language,1
1652,sql,1
1653,python,1
1654,r,1
1655,vba,0
1656,data visualisation tool,1
1657,power bi,1
1658,equivalentdesirable experience,0
1659,insurance industry,0
1660,interest,0
1661,data science,1
1662,machine learning,1
1663,technique,0
1664,thanks,0
1665,data analyst,1
1666,uk,0
1667,exciting opportunity,0
1668,extensive reporting,1
1669,innovative global utility provider,0
1670,existing area,0
1671,reporting,1
1672,team,0
1673,enhanced monitoring,0
1674,licence obligation,0
1675,tool,1
1676,resource,0
1677,control,0
1678,place,0
1679,licence condition,0
1680,activity,0
1681,balancing service market,0
1682,ofgem,0
1683,european regulation,0
1684,energy market,0
1685,transparency,0
1686,key skill,0
1687,large volume,0
1688,ability,0
1689,data,1
1690,running investigation,0
1691,several data set,1
1692,clear logical manner,0
1693,recommendation,0
1694,next step,0
1695,tight timescales,0
1696,understanding,0
1697,confidentiality,0
1698,ongoing investigation,0
1699,engagement,0
1700,external stakeholder,0
1701,strong working relationship,0
1702,access,0
1703,required data set,1
1704,spring,0
1705,employment agency,0
1706,permanent recruitment,0
1707,employment business,0
1708,supply,0
1709,spring group uk,0
1710,role,0
1711,candidate privacy information statement,0
1712,information,0
1713,qa data analyst,1
1714,qa analyst,1
1715,data analysis,1
1716,sql,1
1717,statistical test,0
1718,storage process,0
1719,qa testing,1
1720,statistical package,0
1721,m excel,1
1722,qa data analyst,1
1723,data analysis,1
1724,client,0
1725,exciting cuttingedge technology giant,0
1726,global presence,0
1727,market leader,0
1728,many year,0
1729,significant growth,0
1730,last month,0
1731,expansion,0
1732,success developing procedure,0
1733,accuracy,0
1734,expert data analysis expereince,1
1735,strong background,0
1736,test,0
1737,m excel,1
1738,sa,0
1739,spss,0
1740,skill,0
1741,sql,1
1742,javascript,0
1743,talented qa data analyst candidate,1
1744,background,0
1745,career,0
1746,training,0
1747,top performer,0
1748,career path,0
1749,lead position,0
1750,month,0
1751,remote salary,0
1752,bonus,0
1753,pension,0
1754,benefit,0
1755,position,0
1756,cv,0
1757,qa data analyst,1
1758,qa analyst,1
1759,data quality analyst,1
1760,data analysis,1
1761,javascript,0
1762,statistical test,0
1763,qa testing,1
1764,collection,0
1765,statistical package,0
1766,m excel,1
1767,spss,0
1768,qa data analyst,1
1769,qa analyst,1
1770,junior data analyst start date,1
1771,month,0
1772,hourly rate,0
1773,week,0
1774,monday saturday,0
1775,hour,0
1776,pm location,0
1777,role,0
1778,production,0
1779,sensitive data set,1
1780,internal performance,1
1781,finance related data set,1
1782,internal system,0
1783,role,0
1784,ability,0
1785,excel pivot table,1
1786,line level data,1
1787,comfortable manipulating data,1
1788,good eye,0
1789,report,1
1790,confident communicator,0
1791,place,0
1792,world leading coding school,0
1793,web development data science boot camp,1
1794,mission,0
1795,student,0
1796,new professional challenge,0
1797,ambition,0
1798,global expansion,0
1799,team,0
1800,communication mac team,1
1801,key insight,1
1802,digital measurement strategy,0
1803,marketing,0
1804,admission,0
1805,paid medium,0
1806,cro,0
1807,seo,0
1808,meaningful kpi dashboard,0
1809,data science methodology,1
1810,analysis,1
1811,actionable insight,1
1812,admission,0
1813,communication mac team,1
1814,key insight,1
1815,business stakeholder,0
1816,regional central leadership,0
1817,digital measurement strategy,0
1818,cro,0
1819,objective,0
1820,meaningful kpi dashboard,0
1821,data science methodology,1
1822,actionable insight,1
1823,admission,0
1824,communication mac team,1
1825,digital data source,1
1826,key insight,1
1827,school team,0
1828,marketing,0
1829,paid medium,0
1830,objective,0
1831,meaningful kpi dashboard,0
1832,data science methodology,1
1833,analysis,1
1834,actionable insight,1
1835,year,0
1836,experience,0
1837,data analysis business analysis data management insightsability,1
1838,business requirement,0
1839,technical reporting requirement,1
1840,hypothesis testing scenario high level,0
1841,experience,0
1842,ideally gmp,0
1843,experience,0
1844,experience,0
1845,data science,1
1846,experience,0
1847,marketing business intelligence environment,0
1848,online marketing campaign,0
1849,digital channel,0
1850,handson attribution modellingexperience,0
1851,data visualisation tool,1
1852,powerbi,1
1853,microsoft word,1
1854,powerpoint,1
1855,presentation,1
1856,experience,0
1857,crm bi solution,1
1858,implementation,0
1859,salesforce,1
1860,ssrs,1
1861,powerbiexperience,0
1862,paid search platform,0
1863,google double click,0
1864,bing,0
1865,google optimise,0
1866,big query,0
1867,experience,0
1868,salary,0
1869,experience,0
1870,covid health safety measure,0
1871,nest,0
1872,role,0
1873,cv,0
1874,new position,0
1875,u,0
1876,career,0
1877,specialist recruitment limited,0
1878,employment agency,0
1879,supply,0
1880,temporary worker,0
1881,job,0
1882,tc,0
1883,privacy policy,0
1884,disclaimer,0
1885,hayscouk,0
1886,unique opportunity,0
1887,analyst,0
1888,role,0
1889,head,0
1890,data analysis,1
1891,hybrid position,0
1892,interesting duty,0
1893,person,0
1894,london,0
1895,highgrowth startup,0
1896,company,0
1897,business,0
1898,chain,0
1899,nursery,0
1900,home county,0
1901,offering,0
1902,track,0
1903,fastestgrowing business,0
1904,uk,0
1905,modern data stack,1
1906,successful data analyst,1
1907,business,0
1908,role,0
1909,deep insight,1
1910,following,0
1911,kpi dashboard,0
1912,actionable insight,1
1913,following skill,0
1914,experience,0
1915,commercial experience,0
1916,data visualisation tool,1
1917,good proficiency,0
1918,sqlexcellent stakeholder management skill,1
1919,ability,0
1920,successful data analyst,1
1921,plus access,0
1922,maddie mckechnie,0
1923,apply link,0
1924,data analyst,1
1925,leeds city centre,0
1926,study,0
1927,business insight,1
1928,data analysis,1
1929,data visualisation,1
1930,use,0
1931,business information tool,1
1932,system,0
1933,analytical study,0
1934,data,1
1935,conclusion,0
1936,appropriate format,0
1937,user,0
1938,analysis,1
1939,clear valuable finding,0
1940,appropriate medium,0
1941,data,1
1942,data,1
1943,high impact,0
1944,deep understanding,0
1945,relevant data source,1
1946,senior stakeholder,0
1947,experience,0
1948,qualified,0
1949,informatics,1
1950,another quantitative field,0
1951,advanced working sql knowledge,1
1952,relational database,1
1953,query,0
1954,sql,1
1955,familiarity,0
1956,variety,0
1957,experience building,0
1958,architecture,0
1959,data set,1
1960,experience,0
1961,root,0
1962,analysis,1
1963,internal external data,1
1964,process,0
1965,specific business question,0
1966,opportunity,0
1967,improvement,0
1968,build,0
1969,process,0
1970,metadata,1
1971,workload management,1
1972,manipulating,0
1973,processing,0
1974,certified data analystengineer certified professional experience,1
1975,big data tool,1
1976,relational sql nosql database,1
1977,postgres,0
1978,experience,0
1979,data pipeline,1
1980,workflow,1
1981,management tool,1
1982,azkaban,1
1983,luigi,0
1984,airflow,0
1985,aws cloud service,1
1986,ec,0
1987,rds,0
1988,streamprocessing system,0
1989,java,1
1990,c,1
1991,jira service management proficient business system knowledge,1
1992,ie jira linux apache tomcat,1
1993,data,1
1994,business insight,1
1995,data initiative,1
1996,optimal data delivery architecture,1
1997,ongoing project,0
1998,experience,0
1999,data data pipeline architecture,1
2000,collection,0
2001,functional team,0
2002,technique,0
2003,data analysis,1
2004,data visualisation,1
2005,use,0
2006,business information tool,1
2007,migrate,0
2008,system,0
2009,data,1
2010,data,1
2011,different data set,1
2012,conclusion,0
2013,user,0
2014,employment agency,0
2015,temporary worker,0
2016,job,0
2017,tc,0
2018,privacy policy,0
2019,disclaimer,0
2020,hayscouk,0
2021,wilmington plc,0
2022,tableausql,0
2023,data analyst,1
2024,tableausql,0
2025,london,0
2026,k,0
2027,term,0
2028,working experience,0
2029,large numerical textbased data set,1
2030,bespoke userfriendly dashboard,0
2031,tableau,1
2032,huge bonus,0
2033,u,0
2034,u,0
2035,company,0
2036,difference,0
2037,portfolio,0
2038,training,0
2039,professional business market,0
2040,well known professional service brand,0
2041,professional,0
2042,performance,1
2043,relevant reliable information,0
2044,main purpose,0
2045,analytical activity,0
2046,information,0
2047,variety,0
2048,diverse interesting business portfolio,0
2049,purpose,0
2050,understanding,0
2051,inference,0
2052,data,1
2053,table,1
2054,dashboard,0
2055,data,1
2056,user,0
2057,healthcare related datasets,1
2058,growing remit,0
2059,team,0
2060,analytical technique,0
2061,datasets,1
2062,lead role,0
2063,client,0
2064,senior management staff,1
2065,quality project,0
2066,regular team meeting,0
2067,development,1
2068,innovative exciting analytical product,0
2069,expertise,0
2070,he,0
2071,quality,0
2072,framework,0
2073,date,0
2074,datasets,1
2075,clear understanding,0
2076,methodology,0
2077,ability,0
2078,datasets,1
2079,analytical technique,0
2080,essential skill,0
2081,excellent advanced excel skill,1
2082,writing,0
2083,macro,0
2084,transformation,0
2085,data,1
2086,experience,0
2087,similar bi tool,1
2088,experience,0
2089,large numerical textbased data set,1
2090,ability,0
2091,variety,0
2092,activity,0
2093,personal responsibility,0
2094,autonomy,0
2095,initiative,0
2096,efficient bespoke tool,1
2097,excel,1
2098,tableau,1
2099,expectation,0
2100,new approach,0
2101,data,1
2102,effective verbal communication skill,1
2103,strong analytical technical writing skill,0
2104,strong organisational skill,0
2105,multiple project,0
2106,priority,0
2107,minimal supervision desirable skill,0
2108,intermediate,0
